text,label
"""

 Mind explaining this edit? 

This one?  I removed the empty category per categorizing pages guideline.  Specifically """"An article should never be left with a non-existent (redlinked) category on it. Either the category should be created, or else the link should be removed or changed to a category that does exist.""""   talk """,0.0
"""

 ................ 

aww looks like someone forgot 2 say please

and just who the hell are you

probably just some """"REGULAR USAR"""" doing a """"good"""" deed

 """,1.0
"Vandalism spree
Your vandalism spree is pitiful.  All this, after I supported your motions?  Thanks a lot.",1.0
"July 7, 2005 20:58 (UTC)",0.0
REDIRECT Talk:The Bear (1998 film),0.0
"Waterloo Road Characters WTF!! 

What the f**k have you done to that article? It looks ridiculous????!!! You lot really are fucking thick if you think THAT looks good!92.8.22.67",1.0
"""

I have provided plenty of reference materials yet you have provided none. All writings in Chamar section have comes from sources that are verifiable. Yet you have provided none. You are the one with the ECCENTRIC IDIOLOGY. 
You still have not provided ANY VERIFIABLE sources to show that RAMDASIA and CHAMAR are different.
Chamars that took up weaving are known as RAMDASIA's.
A simple google search on """"RAMDASIA CHAMAR"""" will provide you with countless links.   bal537""",0.0
"In addition, the RFC has expired.

On the yay side we have
Urammar
Nytemyre
94.208.108.19 (whoever that is)
NinjaRobotPirate
Popcornduff 
StG88

McGeddon appears undecided

On the nay side we have
Serendipodous

This is a consensus as of the RFC expiry. Therefore the article has rightly been changed.
Further edits will need to conform to the expectations of the majority.

Serendipodous, you had your time on the floor to convince us, that time has passed.
You will need to convince the majority of a reason to change it back now, and feel free to continue to do so in the talk page here. 

Please do not begin another edit war. Thank you.",0.0
"LACK OF BALANCE

This article is seriously out of balance.  It would benefit greatly from the introduction of additional information about the negative aspects of the T-34.  Just for the record, this sort of balance problem is not uncommon when there is an over dependence on the works of a particular author.  For example, testing and evaluation of a T-34 by the US Army Ordnance Dept. exposed some very serious problems with the tank.  This type of information should be included in the article to bring it back into balance.",0.0
"Proposed approach 

This section is intended to be a compilation of actions needed to improve this article, based on discussion views and discussion on this page. I will begin by suggesting a few steps we can take to address concerns raised. These include: article length, length of notes section, need to place greater emphasis on his teachings and impact, layout (use of non-standard article headings), quality standards, etc. Here are some suggestions. Please feel free to add additional issues that need attention and comment on the order of doing things.
 Review headings, re-order as needed using standard layout
 Determine sections to be moved to sub articles
 Write summaries for these sections
 Create sub articles
 Review/reduce notes section
 Edit according to Good article criteria and/or Featured article criteria
 Submit for assessment",0.0
"I will revert this vandalism next month and every month after the blocks are removed and there's nothing you retards can do about it. Go ahead, cover under a moderator like the cowards that you are. You think bans can stop me from righting this wrong?",1.0
"fuck you jzg 

i will have you removed as editor you stupid moron",1.0
"you are so far from trying to edit in good faith its ridiculous.  or was that conclusion original research?.  22:12, July 20, 2005 (UTC)",0.0
"""
It's in the History, or more conveniently in your own contribs. Thank you for the explanation, but that wasn't a big deal. I was more upset by your second post—waving me off with a sneer about growing a thicker skin and a finger-waggle about """"profanity""""—treating me as an insensate piece of internet polemic rather than a fellow human attempting to give an honest account of herself. An account which Mackensen promptly removed, as you say. Well, I understand that trying to contribute to the workshop was a bad idea in the first place—running full tilt into Tony Sidaway, after managing to avoid him on IRC for a whole month, to the immeasureable improvement of my quality of life. Anyway. I've always seen you as somebody who stands up for the underdog — I remember praising your addition of this edit to the Harassment guideline—and I was sad to see there was no mutuality of respect.  | talk .""",0.0
"""

 Consider joining the Tyop Contest! 

 tyoptypo

Hi there! You're invited to participate in the first ever Tyop Contest! The Tyop Contest is a friendly competition between Wikipedia users to correct typos. The contest will be run from February 1 to March 1, 2014. Depending on the typo you correct, you gain a certain number of points. The user with the highest number of points at the end wins the contest! Considering joining?  -""",0.0
If you feel that I am acting in manor inconsistent with my responsibilities you can post something at Wikipedia:Administrators' noticeboard/Incidents.  If you want to make changes to University of Wisconsin–Madison and you have reliable source references to support those changes then post the references with the changes.  This Tutorial may help with references. If you have more questions just ask.,0.0
"Nig(g)er 

Shut up, sit down.",1.0
for this exact sort of behavior,0.0
""" 2007 (UTC)
Well, see first if anyone at the page is question objects to unlocking - without bias towards future editorial decisions. D 14:21, 23 July""",0.0
"""

And finally, the ONLY reason I created the article here on Wikipedia, it's because I could link it to other Wikipedia articles, since it was about an animation, band, video game, cd album and cd single. But like I said before, screw this. It's because of losers so-called administrators like you AKA """"vandalism fighter wannabe"""" that Wikipedia is full of nonsense articles with innacurate info. Pftt, can't bother with these weirdos. adieu. 88.214.165.10  """,1.0
You cant block me you fucking retard. BRB nigger,1.0
cocksucking bastard,1.0
LISTEN YOU MOTHERFUCKING FAGGOT! STOP FUCKING WITH ME!!! I WILL DELETE ANYTHING I WANT OFF OF PAGES I CREATED. IF YOU DONT FUCKING LIKE IT DEAL WITH IT. I TRIED BEING CORDIAL BUT YOU ARE SERIOUSLY PISSING ME OFF! BACK THE FUCK OFF!!!!,1.0
Get your fat white ass out of the suburbs and join the real world.,1.0
"I swear to GOD u republican TOOLBAG
If I ever see you in life, i'd fucking hurt you
U are totally 100% corporation, Tea Party, Anti-Gay, Anti-Abortion, Anti-Black, Anti-Hispanic, Anti-Immigrant, 
You are like a radio that spews out Rush Limbaugh 24/7.  You need to be stopped.  U will never know the pain that us
poor democrats, blacks, and disabled go throw unless you die and get sent to HELL (u do believe in it right u Christian
Fundamentalist)  
Learn some progressive shit dude, get out of ur fucking parents church.  People Like you are what led to the incompetent PResident George W Bush invading Iraq.  But wait u probably supported invading iraq instead of Pakistant or Iran.  Get a life or seriously DIE caus u'd be doing us all a great favor.",1.0
"Perhaps the question is more of philosophy than of mathematics, and we don't have any regulars at WikiProject Math who are philosophers of mathematics?  (t | c)",0.0
